rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,train/loss,train/n_updates,train/learning_rate
1.33,660,184.67,2868,0.8856352,120384,41,0.0005497791571542621,8797,0.0005
1.33,664,185.17,2866,0.8847839999999998,121280,42,0.0027593234553933144,8909,0.0005
1.32,668,184.23,2864,0.8840087999999996,122096,42,0.00781918317079544,9011,0.0005
1.34,672,184.68,2863,0.8833020000000004,122840,42,0.002086619148030877,9104,0.0005
1.32,676,183.71,2862,0.8823291999999998,123864,43,0.0005795609904453158,9232,0.0005
1.3,680,183.22,2860,0.8819036000000002,124312,43,0.0269759688526392,9288,0.0005
1.3,684,183.94,2859,0.8808623999999998,125408,43,0.0017027546418830752,9425,0.0005
1.29,688,184.22,2858,0.8801860000000005,126120,44,0.003919248003512621,9514,0.0005
1.29,692,183.72,2857,0.8796692000000004,126664,44,0.03405611589550972,9582,0.0005
1.28,696,183.61,2856,0.8789851999999997,127384,44,0.0021053673699498177,9672,0.0005
1.23,700,181.41,2854,0.8781644000000003,128248,44,0.11252708733081818,9780,0.0005
1.19,704,179.64,2853,0.8777007999999996,128736,45,0.003247244516387582,9841,0.0005
1.21,708,180.31,2852,0.8766672000000005,129824,45,0.004038842394948006,9977,0.0005
1.25,712,181.51,2851,0.8762112000000001,130304,45,0.0008829477010294795,10037,0.0005
1.27,716,182.28,2850,0.8753219999999998,131240,46,0.006218205206096172,10154,0.0005
1.34,720,183.83,2849,0.8744327999999995,132176,46,0.0027787433937191963,10271,0.0005
1.37,724,185.58,2848,0.8738780000000005,132760,46,0.0018745132256299257,10344,0.0005
1.35,728,184.83,2847,0.8733612000000004,133304,46,0.09743336588144302,10412,0.0005
1.33,732,184.14,2846,0.8725176000000003,134192,47,0.0007761407177895308,10523,0.0005
1.29,736,182.84,2845,0.8719552,134784,47,0.0005980463465675712,10597,0.0005
1.34,740,184.85,2844,0.8713472000000004,135424,47,0.09829270839691162,10677,0.0005
1.33,744,184.05,2843,0.8703971999999995,136424,47,0.0004645794106181711,10802,0.0005
1.4,748,187.08,2843,0.8696675999999997,137192,48,0.03020821511745453,10898,0.0005
1.35,752,185.45,2842,0.8690596,137832,48,0.004555674269795418,10978,0.0005
1.37,756,186.97,2841,0.8683451999999996,138584,48,0.10328513383865356,11072,0.0005
1.39,760,187.42,2840,0.8674788,139496,49,0.0015118522569537163,11186,0.0005
1.38,764,186.55,2839,0.8668632000000002,140144,49,0.001703821588307619,11267,0.0005
1.45,768,189.74,2838,0.8662020000000001,140840,49,0.0026224295143038034,11354,0.0005
1.43,772,188.84,2837,0.8654191999999998,141664,49,0.00013340040459297597,11457,0.0005
1.41,776,187.91,2836,0.8648112000000002,142304,50,0.108389712870121,11537,0.0005
1.41,780,187.99,2836,0.863998,143160,50,0.000775377731770277,11644,0.0005
1.44,784,188.68,2835,0.8631696000000004,144032,50,0.001276881550438702,11753,0.0005
1.4,788,186.56,2834,0.8627288000000004,144496,50,0.0021963343024253845,11811,0.0005
